Supplier ID,Cost,Quality,Delivery time,Reliability,Flexibility,Capacity,Innovation,Reputation,Financial stability,Environmental impact,Social responsibility,Safety record,Technical expertise,Customer service,Lead time,Responsiveness,Contract terms,Diversity,Sustainability,Scalability,Supplier’s default
1163,0.503,0.37,0.391,0.093,0.149,0.929,0.903,Average,0.611,0.422,0.679,0.008,0.732,0.232,0.466,0.829,0.444,0.656,0.295,0.095,1
1164,0.049,0.964,0.318,0.598,0.97,0.725,0.086,Bad,0.01,0.515,0.895,0.073,0.025,0.299,0.238,0.329,0.108,0.943,0.841,0.895,1
1165,0.139,0.549,0.002,0.21,0.513,0.828,0.277,Excellent,0.529,0.362,0.93,0.696,0.251,0.493,0.093,0.805,0.621,0.724,0.07,0.094,1
1166,0.68,0.987,0.197,0.613,0.046,0.384,0.124,Bad,0.784,0.09,0.417,0.5,0.47,0.31,0.313,0.635,0.617,0.131,0.635,0.741,1
1167,0.177,0.849,0.193,0.668,0.442,0.391,0.164,Bad,0.708,0.963,0.957,0.372,0.569,0.546,0.413,0.104,,0.595,0.152,0.72,1
1168,0.844,0.646,0.634,0.96,0.248,0.468,0.637,Bad,0.019,0.686,0.507,0.639,0.051,0.809,0.264,0.518,0.842,0.102,0.936,0.697,2
1169,0.736,0.528,0.116,0.677,0.502,0.955,0.199,Good,0.074,0.128,0.106,0.831,0.198,0.499,0.478,0.209,0.748,0.271,0.32,0.764,1
1170,0.594,0.812,0.612,0.687,0.229,0.671,0.552,Good,0.184,0.834,0.089,0.191,0.364,0.892,0.313,0.77,0.407,0.183,0.975,0.928,2
1171,0.62,0.978,0.469,0.027,0.746,0.65,0.455,Good,0.252,0.048,0.798,0.278,0.133,0.696,0.956,0.756,0.663,0.752,0.893,0.984,2
1172,0.321,0.888,0.825,0.321,0.374,0.132,0.794,Bad,0.815,0.859,0.639,0.302,0.403,0.526,0.895,0.207,0.325,0.645,0.939,0.979,2
1173,0.651,0.745,0.994,0.442,0.941,0.763,0.898,Average,0.293,0.598,0.422,0.962,0.369,0.413,0.346,0.006,0.671,0.617,0.886,0.113,2
1174,0.985,0.62,0.959,0.935,0.058,0.118,0.083,Good,0.992,0.274,0.279,0.38,0.885,0.817,0.163,0.4,0.964,0.321,0.489,0.61,2
1175,0.903,0.579,0.841,0.336,0.958,0.694,0.916,Average,0.988,0.702,0.349,0.609,0.129,0.277,0.927,0.162,0.758,0.598,0.315,0.691,2
1176,0.351,0.529,0.962,0.419,0.47,0.862,0.16,Good,0.528,0.082,0.031,0.809,0.068,0.948,0.491,0.585,0.878,0.371,0.964,0.124,1
1177,0.773,0.015,0.442,0.342,0.807,0.513,0.699,Excellent,0.997,0.875,0.301,0.636,0.291,0.407,0.747,0.684,0.759,0.844,0.382,0.308,2
1178,0.106,0.753,0.139,0.259,0.159,0.306,0.97,Good,0.367,0.539,0.684,0.784,0.408,0.165,0.939,0.265,0.053,0.789,0.965,0.332,1
1179,0.237,0.42,0.356,0.167,0.075,0.508,0.441,Excellent,0.669,0.488,0.698,0.796,0.809,0.864,0.718,0.637,0.116,0.275,0.817,0.068,1
1180,0.599,0.199,0.044,0.513,0.88,0.675,0.956,Bad,0.773,0.168,0.501,0.975,0.443,0.854,0.597,0.81,0.74,0.568,0.798,0.46,1
1181,0.765,0.737,0.374,0.639,0.371,0.669,0.647,Bad,0.764,0.49,0.933,0.924,0.587,0.114,0.863,0.986,0.713,0.569,0.484,0.468,1
1182,0.327,0.476,0.344,0.632,0.432,0.371,0.517,Excellent,0.702,0.074,0.362,0.861,0.418,0.197,0.396,0.011,0.651,0.173,0.419,0.397,1
1183,0.848,0.436,0.154,0.164,0.05,0.827,0.507,Excellent,0.549,0.597,0.614,0.546,0.994,0.394,0.866,0.493,0.074,0.534,0.564,0.788,1
1184,0.732,0.917,0.625,0.945,0.46,0.734,0.954,Bad,0.824,0.492,0.872,0.628,0.777,0.8,0.193,0.761,0.118,0.064,0.09,0.956,2
1185,0.617,0.957,0.264,0.426,0.906,0.38,0.905,Excellent,0.023,0.13,0.882,0.156,0.743,0.468,0.661,0.419,0.517,0.515,0.471,0.659,1
1186,0.43,0.093,0.576,0.129,0.019,0.347,0.991,Average,0.152,0.407,0.206,0.591,0.378,0.964,0.246,0.977,0.301,0.196,0.162,0.862,1
1187,0.112,0.199,0.625,0.801,0.087,0.926,0.113,Bad,0.642,0.69,0.59,0.963,0.099,0.769,0.709,0.859,0.372,0.783,0.841,0.388,1
1188,0.404,0.434,0.641,0.897,0.692,0.709,0.337,Good,0.944,0.458,0.522,0.542,0.888,0.344,0.197,0.75,0.508,0.33,0.226,0.124,1
1189,0.837,0.504,0.089,0.481,0.254,0.954,0.703,Excellent,0.606,0.058,0.213,0.999,0.282,0.224,0.263,0.653,0.021,0.84,0.619,0.015,1
1190,0.759,0.401,0.814,0.293,0.773,0.541,0.632,Average,0.89,0.37,0.614,0.995,0.894,0.883,0.131,0.602,0.241,0.778,0.359,0.028,2
1191,0.032,0.859,0.832,0.249,0.681,0.147,0.183,Excellent,0.822,0.849,0.694,0.421,0.705,0.378,0.742,0.444,0.775,0.456,0.853,0.044,1
1192,0.192,0.331,0.312,0.887,0.18,0.343,0.335,Good,0.474,0.542,0.205,0.71,0.467,0.196,0.787,0.489,0.629,0.678,0.886,0.044,1
1193,0.499,0.38,0.494,0.136,0.814,0.01,0.024,Bad,0.464,0.509,0.16,0.445,0.943,0.514,0.071,0.8,0.216,0.438,0.258,0.081,1
1194,0.521,0.595,0.193,0.485,0.799,0.362,0.422,Average,0.29,0.588,0.472,0.319,0.968,0.154,0.053,0.827,0.952,0.549,0.766,0.649,1
1195,0.371,0.475,0.726,0.275,0.981,0.626,0.036,Bad,0.946,0.53,0.414,0.558,0.614,0.484,0.093,0.07,0.922,0.225,0.486,0.547,1
1196,0.579,0.568,0.759,0.531,0.726,0.442,0.341,Bad,0.227,0.028,0.063,0.853,0.769,0.34,0.669,0.413,0.837,0.47,0.264,0.962,1
1197,0.574,0.165,0.387,0.807,0.461,0.257,0.304,Bad,0.962,0.598,0.369,0.46,0.449,0.809,0.767,0.627,0.708,0.028,0.992,0.262,1
1198,0.025,0.056,0.223,0.807,0.014,0.844,0.47,Bad,0.249,0.727,0.334,0.962,0.648,0.722,0.816,0.72,0.569,0.768,0.016,0.878,1
1199,0.894,0.305,0.076,0.284,0.752,0.779,0.109,Average,0.158,0.496,0.749,0.426,0.766,0.071,0.521,0.773,0.112,0.137,0.358,0.78,1
1200,0.319,0.967,0.447,0.121,0.095,0.063,0.274,Excellent,0.793,0.648,0.767,0.682,0.926,0.43,0.844,0.931,0.025,0.33,0.949,0.754,2
1201,0.126,0.798,0.846,0.552,0.674,0.345,0.764,Good,0.993,0.813,0.146,0.697,0.345,0.095,0.227,0.768,0.578,0.489,0.151,0.052,1
1202,0.135,0.627,0.813,0.333,0.036,0.516,0.222,Excellent,0.758,0.507,0.121,0.56,0.978,0.632,0.858,0.586,0.483,0.554,0.354,0.422,1
1203,0.945,0.174,0.125,0.131,0.465,0.786,0.608,Excellent,0.439,0.691,0.378,0.109,0.466,0.788,0.41,0.321,0.937,0.088,0.056,0.883,1
1204,0.045,0.535,0.879,0.773,0.185,0.661,0.372,Excellent,0.954,0.918,0.083,0.361,0.212,0.231,0.625,0.138,0.771,0.25,0.519,0.779,1
1205,0.374,0.148,0.988,0.036,0.088,0.638,0.805,Bad,0.096,0.565,0.085,0.21,0.269,0.743,0.658,0.507,0.538,0.494,0.511,0.62,1
1206,0.087,0.543,0.078,0.547,0.991,0.211,0.151,Bad,0.755,0.836,0.865,0.376,0.188,0.451,0.991,0.15,0.413,0.373,0.24,0.656,1
1207,0.636,0.05,0.445,0.525,0.671,0.975,0.081,Good,0.928,0.265,0.701,0.515,0.944,0.057,0.055,0.581,0.025,0.237,0.125,0.385,1
1208,0.624,0.504,0.242,0.92,0.95,0.418,0.072,Average,0.236,0.86,0.949,0.963,0.448,0.345,0.528,0.305,0.2,0.541,0.027,0.66,1
1209,0.589,0.159,0.761,0.29,0.16,0.577,0.189,Excellent,0.713,0.547,0.733,0.229,0.238,0.683,0.088,0.63,0.101,0.102,0.317,0.798,2
1210,0.302,0.554,0.044,0.671,0.104,0.317,0.427,Average,0.719,0.604,0.189,0.03,0.829,0.303,0.436,0.834,0.33,0.722,0.156,0.048,1
1211,0.115,0.041,0.22,0.561,0.249,0.634,0.87,Good,0.545,0.145,0.002,0.023,0.51,0.878,0.86,0.416,0.921,0.345,0.376,0.78,1
1212,0.94,0.853,0.213,0.803,0.826,0.839,0.628,Excellent,0.062,0.372,0.58,0.834,0.519,0.69,0.011,0.404,0.635,0.636,0.926,0.607,2
1213,0.751,0.237,0.218,0.437,0.707,0.499,0.489,Average,0.082,0.172,0.271,0.443,0.257,0.135,0.126,0.7,0.577,0.732,0.175,0.229,1
1214,0.582,0.523,0.652,0.827,0.515,0.962,0.655,Bad,0.712,0.572,0.872,0.175,0.668,0.121,0.05,0.381,0.355,0.349,0.399,0.263,1
1215,0.803,0.169,0.776,0.054,0.716,0.162,0.535,Good,0.257,0.581,0.872,0.009,0.254,0.848,0.928,0.421,0.786,0.769,0.058,0.27,2
1216,0.23,0.628,0.175,0.124,0.396,0.547,0.59,Excellent,0.871,0.181,0.67,0.344,0.57,0.108,0.159,0.969,0.351,0.941,0.748,0.564,1
1217,0.684,0.232,0.259,0.813,0.215,0.961,0.88,Average,0.078,0.062,0.033,0.042,0.436,0.244,0.635,0.647,0.323,0.737,0.608,0.924,1
1218,0.959,0.465,0.491,0.524,0.35,0.693,0.722,Excellent,0.937,0.819,0.179,0.699,0.906,0.478,0.967,0.016,0.314,0.542,0.673,0.431,2
1219,0.741,0.203,0.459,0.484,0.828,0.787,0.628,Excellent,0.673,0.393,0.992,0.139,0.385,0.038,0.719,0.971,0.102,0.768,0.137,0.516,1
1220,0.811,0.707,0.501,0.039,0.013,0.372,0.832,Excellent,0.723,0.502,0.829,0.598,0.922,0.393,0.449,0.452,0.824,0.712,0.247,0.013,1
1221,0.242,0.424,0.709,0.164,0.116,0.852,0.124,Good,0.56,0.834,0.118,0.506,0.965,0.996,0.012,0.199,0.534,0.141,0.639,0.911,1
1222,0.028,0.856,0.205,0.983,0.985,0.523,0.03,Bad,0.604,0.687,0.484,0.981,0.111,0.554,0.556,0.056,0.179,0.206,0.443,0.081,1
1223,0.28,0.171,0.641,0.88,0.526,0.322,0.155,Bad,0.456,0.164,0.918,0.062,0.727,0.451,0.286,0.914,0.589,0.314,0.476,0.477,1
1224,0.621,0.545,0.828,0.659,0.459,0.431,0.977,Excellent,0.058,0.928,0.141,0.335,0.355,0.63,0.484,0.501,0.546,0.261,0.804,0.455,2
1225,0.516,0.239,0.955,0.812,0.302,0.617,0.329,Bad,0.698,0.497,0.637,0.476,0.821,0.75,0.371,0.01,0.042,0.222,0.466,0.854,1
1226,0.736,0.321,0.959,0.422,0.386,0.223,0.48,Average,0.214,0.852,0.716,0.75,0.283,0.309,0.087,0.001,0.73,0.903,0.977,0.358,2
1227,0.033,0.132,0.132,0.003,0.906,0.519,0.372,Good,0.227,0.705,0.553,0.17,0.698,0.344,0.013,0.104,0.486,0.722,0.472,0.271,1
1228,0.571,0.345,0.81,0.143,0.076,0.867,0.629,Bad,0.906,0.931,0.551,0.846,0.157,0.972,0.122,0.204,0.613,0.888,0.767,0.682,2
1229,0.263,0.937,0.96,0.954,0.143,0.324,0.119,Good,0.323,0.262,0.943,0.16,0.577,0.096,0.631,0.495,0.824,0.674,0.331,0.926,1
1230,0.518,0.351,0.333,0.184,0.742,0.932,0.847,Average,0.22,0.192,0.923,0.393,0.101,0.759,0.626,0.336,0.53,0.127,0.425,0.587,1
1231,0.312,0.182,0.633,0.666,0.592,0.234,0.893,Bad,0.322,0.616,0.61,0.765,0.313,0.503,0.42,0.161,0.331,0.66,0.574,0.133,1
1232,0.384,0.179,0.401,0.135,0.009,0.333,0.098,Bad,0.677,0.297,0.56,0.174,0.834,0.638,0.261,0.047,0.66,0.538,0.062,0.338,1
1233,0.191,0.93,0.504,0.26,0.672,0.343,0.822,Average,0.202,0.255,0.513,0.742,0.403,0.775,0.471,0.167,0.164,0.448,0.84,0.211,1
1234,0.494,0.929,0.134,0.955,0.717,0.218,0.767,Excellent,0.733,0.653,0.114,0.77,0.693,0.088,0.74,0.754,0.99,0.052,0.383,0.282,1
1235,0.363,0.662,0.88,0.158,0.082,0.309,0.916,Good,0.113,0.858,0.812,0.039,0.841,0.59,0.081,0.271,0.282,0.66,0.643,0.568,2
1236,0.616,0.346,0.901,0.536,0.985,0.874,0.911,Good,0.978,0.424,0.908,0.279,0.892,0.971,0.442,0.113,0.241,0.326,0.746,0.168,2
1237,0.724,0.545,0.985,0.557,0.445,0.645,0.579,Excellent,0.795,0.378,0.235,0.64,0.227,0.26,0.158,0.877,0.128,0.391,0.704,0.911,2
1238,0.013,0.598,0.858,0.494,0.604,0.192,0.911,Good,0.734,0.53,0.604,0.747,0.18,0.911,0.084,0.547,0.781,0.342,0.01,0.261,2
1239,0.829,0.618,0.145,0.577,0.274,0.436,0.651,Average,0.827,0.842,0.855,0.134,0.131,0.462,0.509,0.668,0.184,0.916,0.295,0.061,1
1240,0.669,0.724,0.769,0.715,0.376,0.839,0.282,Good,0.768,0.005,0.233,0.419,0.355,0.089,0.586,0.474,0.318,0.428,0.578,0.146,1
1241,0.412,0.676,0.372,0.212,0.499,0.021,0.426,Excellent,0.23,0.763,0.402,0.181,0.289,0.153,0.785,0.749,0.17,0.01,0.745,0.635,1
1242,0.309,0.841,0.801,0.86,0.096,0.438,0.13,Good,0.044,0.128,0.107,0.751,0.376,0.038,0.75,0.659,0.971,0.623,0.979,0.569,1
1243,0.839,0.707,0.703,0.97,0.072,0.744,0.222,Bad,0.658,0.929,0.707,0.705,0.859,0.395,0.066,0.845,0.707,0.271,0.26,0.729,1
1244,0.36,0.065,0.067,0.041,0.495,0.778,0.543,Average,0.003,0.73,0.072,0.682,0.93,0.204,0.899,0.422,0.259,0.196,0.638,0.368,1
1245,0.608,0.275,0.193,0.239,0.183,0.156,0.55,Bad,0.347,0.045,0.408,0.682,0.524,0.824,0.064,0.165,0.779,0.255,0.994,0.596,1
1246,0.398,0.5,0.125,0.731,0.879,0.628,0.252,Bad,0.406,0.961,0.622,0.117,0.326,0.179,0.37,0.966,0.325,0.098,0.005,0.934,1
1247,0.883,0.678,0.945,0.471,0.034,0.089,0.318,Excellent,0.24,0.987,0.521,0.581,0.704,0.271,0.26,0.424,0.87,0.172,0.978,0.938,2
1248,0.442,0.252,0.457,0.715,0.155,0.463,0.891,Excellent,0.783,0.349,0.686,0.905,0.884,0.94,0.03,0.949,0.34,0.459,0.064,0.416,1
1249,0.894,0.871,0.092,0.406,0.684,0.34,0.665,Excellent,0.808,0.501,0.335,0.051,0.56,0.72,0.61,0.843,0.971,0.014,0.222,0.947,1
1250,0.689,0.306,0.817,0.521,0.295,0.296,0.527,Average,0.076,0.782,0.334,0.456,0.123,0.296,0.496,0.82,0.372,0.063,0.65,0.353,1
1251,0.833,0.14,0.49,0.745,0.629,0.672,0.021,Excellent,0.284,0.852,0.259,0.569,0.915,0.975,0.771,0.371,0.019,0.214,0.835,0.257,2
1252,0.382,0.749,0.44,0.783,0.124,0.167,0.446,Average,0.168,0.356,0.923,0.716,0.459,0.673,0.083,0.479,0.617,0.44,0.439,0.588,1
1253,0.59,0.079,0.607,0.742,0.837,0.117,0.592,Average,0.367,0.846,0.185,0.761,0.101,0.11,0.044,0.28,0.699,0.716,0.974,0.847,2
1254,0.235,0.316,0.348,0.394,0.24,0.68,0.908,Average,0.24,0.075,0.577,0.027,0.056,0.445,0.779,0.15,0.826,0.144,0.833,0.205,1
1255,0.971,0.829,0.662,0.685,0.308,0.615,0.531,Average,0.036,0.062,0.573,0.783,0.596,0.574,0.608,0.895,0.153,0.173,0.61,0.137,1
1256,0.274,0.527,0.144,0.569,0.542,0.584,0.702,Bad,0.234,0.38,0.244,0.922,0.108,0.79,0.002,0.833,0.59,0.808,0.676,0.18,1
1257,0.568,0.91,0.454,0.129,0.412,0.3,0.673,Bad,0.434,0.794,0.19,0.118,0.663,0.833,0.467,0.507,0.897,0.485,0.655,0.784,1
1258,0.631,0.303,0.991,0.657,0.548,0.357,0.544,Average,0.435,0.49,0.532,0.662,0.884,0.46,0.865,0.097,0.591,0.154,0.746,0.373,1
1259,0.46,0.103,0.156,0.577,0.901,0.296,0.208,Bad,0.386,0.073,0.82,0.524,0.545,0.657,0.448,0.515,0.825,0.235,0.028,0.101,1
1260,0.166,0.905,0.081,0.078,0.103,0.131,0.649,Bad,0.472,0.183,0.282,0.045,0.95,0.515,0.66,0.794,0.947,0.981,0.143,0.015,1
1261,0.462,0.035,0.593,0.581,0.228,0.866,0.727,Good,0.806,0.889,0.791,0.243,0.331,0.523,0.634,0.865,0.27,0.775,0.421,0.443,1
1262,0.71,0.155,0.128,0.809,0.441,0.895,0.578,Good,0.262,0.197,0.124,0.66,0.539,0.045,0.764,0.478,0.429,0.494,0.538,0.319,1
1263,0.195,0.56,0.436,0.039,0.388,0.914,0.654,Good,0.116,0.772,0.967,0.056,0.585,0.21,0.996,0.036,0.49,0.256,0.214,0.719,1
1264,0.258,0.292,0.378,0.849,0.045,0.434,0.496,Excellent,0.575,0.923,0.265,0.042,0.875,0.298,0.505,0.107,0.918,0.578,0.123,0.664,1
1265,0.593,0.309,0.734,0.775,0.544,0.574,0.832,Bad,0.077,0.518,0.325,0.687,0.188,0.044,0.108,0.115,0.9,0.575,0.082,0.43,1
1266,0.792,0.798,0.464,0.534,0.525,0.015,0.537,Bad,0.406,0.389,0.389,0.512,0.448,0.538,0.728,0.197,0.66,0.251,0.635,0.77,1
1267,0.276,0.079,0.096,0.496,0.568,0.5,0.109,Average,0.827,0.406,0.554,0.745,0.365,0.217,0.148,0.988,0.043,0.808,0.302,0.091,1
1268,0.399,0.601,0.201,0.101,0.875,0.9,0.086,Bad,0.543,0.895,0.077,0.441,0.664,0.041,0.761,0.571,0.708,0.144,0.192,0.884,1
1269,0.384,0.306,0.28,0.782,0.663,0.562,0.752,Excellent,0.809,0.272,0.77,0.368,0.217,0.725,0.239,0.787,0.019,0.43,0.182,0.923,2
1270,0.993,0.299,0.622,0.162,0.119,0.939,0.573,Bad,0.901,0.774,0.964,0.964,0.47,0.387,0.576,0.259,0.577,0.87,0.771,0.335,1
1271,0.2,0.102,0.204,0.551,0.626,0.482,0.29,Excellent,0.012,0.5,0.947,0.205,0.847,0.407,0.147,0.173,0.249,0.611,0.717,0.574,1
1272,0.691,0.052,0.239,0.791,0.848,0.757,0.446,Average,0.127,0.158,0.776,0.638,0.534,0.285,0.84,0.147,0.512,0.95,0.236,0.746,1
1273,0.081,0.278,0.844,0.975,0.309,0.842,0.798,Average,0.49,0.16,0.527,0.602,0.319,0.272,0.464,0.612,0.858,0.876,0.496,0.371,1
1274,0.831,0.312,0.448,0.617,0.696,0.855,0.905,Bad,0.864,0.891,0.701,0.287,0.403,0.837,0.673,0.717,0.224,0.568,0.272,0.349,2
1275,0.368,0.616,0.383,0.929,0.166,0.369,0.584,Good,0.856,0.457,0.807,0.245,0.947,0.772,0.239,0.578,0.514,0.6,0.554,0.84,2
1276,0.036,0.896,0.692,0.237,0.975,0.914,0.638,Excellent,0.127,0.289,0.901,0.641,0.416,0.043,0.307,0.952,0.884,0.206,0.237,0.312,1
1277,0.167,0.309,0.185,0.765,0.858,0.338,0.012,Good,0.343,0.024,0.18,0.833,0.848,0.71,0.644,0.017,0.695,0.54,0.269,0.289,1
1278,0.422,0.576,0.4,0.292,0.836,0.333,0.006,Excellent,0.418,0.329,0.58,0.048,0.134,0.945,0.057,0.47,0.977,0.938,0.609,0.149,1
1279,0.21,0.71,0.191,0.921,0.929,0.693,0.775,Excellent,0.917,0.039,0.829,0.595,0.997,0.857,0.032,0.957,0.16,0.767,0.725,0.307,2
1280,0.504,0.048,0.657,0.226,0.195,0.422,0.807,Average,0.509,0.344,0.687,0.547,0.205,0.792,0.136,0.279,0.818,0.542,0.313,0.512,1
1281,0.285,0.428,0.826,0.67,0.796,0.91,0.812,Bad,0.416,0.817,0.584,0.328,0.181,0.601,0.669,0.361,0.308,0.716,0.414,0.737,2
1282,0.284,0.928,0.667,0.93,0.137,0.444,0.811,Bad,0.849,0.929,0.369,0.832,0.747,0.567,0.405,0.203,0.74,0.2,0.005,0.273,1
1283,0.725,0.188,0.338,0.974,0.543,0.023,0.936,Bad,0.657,0.623,0.583,0.666,0.69,0.291,0.511,0.095,0.466,0.148,0.497,0.643,1
1284,0.061,0.008,0.627,0.314,0.333,0.415,0.897,Good,0.99,0.81,0.341,0.452,0.946,0.544,0.553,0.463,0.613,0.251,0.07,0.618,1
1285,0.512,0.884,0.979,0.204,0.423,0.181,0.918,Excellent,0.85,0.38,0.223,0.123,0.221,0.679,0.772,0.614,0.941,0.402,0.206,0.769,1
1286,0.841,0.352,0.989,0.574,0.344,0.737,0.888,Bad,0.882,0.998,0.606,0.69,0.935,0.761,0.229,0.64,0.227,0.888,0.511,0.933,2
1287,0.446,0.386,0.099,0.318,0.919,1,0.177,Average,0.193,0.137,0.978,0.257,0.841,0.545,0.768,0.268,0.875,0.162,0.914,0.375,1
1288,0.832,0.532,0.725,0.699,0.026,0.394,0.035,Average,0.859,0.621,0.12,0.132,0.458,0.107,0.995,0.309,0.757,0.415,0.341,0.965,1
1289,0.096,0.061,0.545,0.962,0.05,0.422,0.488,Average,0.968,0.506,0.678,0.825,0.218,0.71,0.642,0.477,0.824,0.898,0.918,0.953,1
1290,0.49,0.812,0.635,0.365,0.657,0.321,0.639,Excellent,0.275,0.779,0.688,0.445,0.846,0.385,0.249,0.67,0.922,0.55,0.967,0.203,2
1291,0.143,0.356,0.322,0.897,0.641,0.73,0.923,Good,0.143,0.425,0.5,0.932,0.499,0.818,0.967,0.693,0.912,0.058,0.296,0.572,1
1292,0.079,0.081,0.612,0.158,0.421,0.64,0.193,Excellent,0.908,0.833,0.501,0.352,0.776,0.202,0.516,0.909,0.402,0.549,0.812,0.384,1
1293,0.968,0.671,0.693,0.138,0.371,0.567,0.638,Bad,0.403,0.025,0.971,0.693,0.845,0.405,0.636,0.204,0.974,0.878,0.812,0.419,1
1294,0.023,0.431,0.935,0.519,0.618,0.703,0.393,Average,0.124,0.653,0.321,0.234,0.757,0.327,0.037,0.41,0.256,0.302,0.89,0.231,1
1295,0.527,0.358,0.383,0.998,0.065,0.258,0.787,Good,0.539,0.606,0.651,0.291,0.569,0.244,0.313,0.792,0.188,0.921,0.136,0.6,1
1296,0.513,0.434,0.005,0.629,0.275,0.501,0.502,Excellent,0.393,0.201,0.592,0.643,0.982,0.351,0.361,0.324,0.614,0.239,0.857,0.929,1
1297,0.115,0.738,0.636,0.658,0.663,0.024,0.815,Excellent,0.932,0.579,0.923,0.956,0.06,0.471,0.578,0.797,0.984,0.556,0.833,0.72,2
1298,0.439,0.092,0.73,0.243,0.91,0.649,0.576,Average,0.016,0.759,0.978,0.865,0.582,0.89,0.804,0.718,0.501,0.87,0.834,0.255,1
1299,0.464,0.45,0.718,0.189,0.889,0.667,0.433,Excellent,0.246,0.323,0.562,0.705,0.789,0.528,0.998,0.75,0.063,0.875,0.067,0.06,1
1300,0.235,0.429,0.527,0.522,0.717,0.652,0.026,Good,0.785,0.527,0.986,0.355,0.294,0.15,0.774,0.395,0.137,0.766,0.996,0.614,1
1301,0.027,0.727,0.309,0.963,0.33,0.299,0.451,Good,0.948,0.316,0.961,0.604,0.24,0.772,0.649,0.776,0.162,0.029,0.667,0.662,2
1302,0.923,0.811,0.061,0.378,0.725,0.479,0.499,Bad,0.422,0.997,0.411,0.035,0.146,0.846,0.22,0.972,0.742,0.494,0.153,0.172,1
1303,0.223,0.619,0.906,0.415,0.594,0.715,0.757,Average,0.099,0.875,0.956,0.728,0.231,0.974,0.151,0.224,0.541,0.342,0.257,0.713,1
1304,0.253,0.063,0.565,0.384,0.938,0.399,0.584,Good,0.516,0.767,0.013,0.515,0.574,0.16,0.773,0.268,0.175,0.808,0.908,0.192,1
1305,0.411,0.14,0.641,0.929,0.558,0.131,0.762,Excellent,0.28,0.375,0.562,0.742,0.402,0.733,0.731,0.832,0.553,0.726,0.774,0.885,2
1306,0.036,0.903,0.591,0.102,0.843,0.025,0.602,Good,0.042,0.195,0.836,0.455,0.67,0.033,0.615,0.998,0.214,0.356,0.093,0.283,1
1307,0.032,0.694,0.267,0.143,0.671,0.961,0.882,Good,0.186,0.604,0.936,0.025,0.398,0.406,0.589,0.237,0.32,0.773,0.883,0.809,2
1308,0.886,0.966,0.702,0.902,0.733,0.079,0.486,Average,0.655,0.955,0.44,0.221,0.364,0.456,0.614,0.178,0.649,0.991,0.914,0.052,2
1309,0.474,0.976,0.354,0.152,0.105,0.905,0.344,Good,0.834,0.675,0.889,0.934,0.597,0.992,0.583,0.536,0.011,0.088,0.262,0.046,1
1310,0.904,0.619,0.603,0.386,0.317,0.706,0.396,Average,0.63,0.452,0.653,0.785,0.997,0.332,0.221,0.579,0.156,0.326,0.392,0.615,1
1311,0.041,0.24,0.005,0.167,0.871,0.576,0.97,Excellent,0.712,0.613,0.347,0.031,0.766,0.337,0.83,0.838,0.465,0.365,0.502,0.157,1
1312,0.104,0.562,0.189,0.573,0.662,0.851,0.596,Average,0.079,0.358,0.501,0.045,0.043,0.554,0.815,0.384,0.117,0.137,0.484,0.658,1
1313,0.639,0.257,0.077,0.498,0.992,0.155,0.138,Excellent,0.689,0.639,0.033,0.058,0.504,0.766,0.747,0.204,0.883,0.027,0.7,0.41,1
1314,0.369,0.17,0.089,0.499,0.28,0.71,0.753,Excellent,0.857,0.075,0.732,0.922,0.767,0.461,0.616,0.292,0.74,0.348,0.985,0.537,2
1315,0.057,0.43,0.549,0.504,0.837,0.632,0.092,Excellent,0.129,0.521,0.291,0.07,0.536,0.541,0.106,0.587,0.485,0.722,0.568,0.118,1
1316,0.008,0.957,0.729,0.034,0.392,0.627,0.642,Good,0.517,0.679,0.875,0.268,0.065,0.38,0.872,0.46,0.648,0.657,0.732,0.413,1
1317,0.332,0.191,0.588,0.055,0.229,0.983,0.354,Good,0.991,0.02,0.227,0.337,0.437,0.001,0.385,0.238,0.792,0.264,0.285,0.429,1
1318,0.369,0.116,0.058,0.356,0.076,0.867,0.657,Good,0.193,0.965,0.213,0.36,0.097,0.333,0.172,0.281,0.027,0.98,0.136,0.063,1
1319,0.368,0.858,0.597,0.03,0.38,0.243,0.172,Bad,0.367,0.79,0.65,0.011,0.176,0.441,0.329,0.214,0.592,0.436,0.963,0.638,1
1320,0.372,0.827,0.666,0.153,0.638,0.871,0.218,Average,0.503,0.333,0.908,0.169,0.968,0.941,0.218,0.212,0.745,0.601,0.925,0.106,1
1321,0.714,0.793,0.365,0.337,0.844,0.852,0.605,Average,0.356,0.666,0.667,0.99,0.416,0.841,0.254,0.417,0.022,0.552,0.057,0.133,1
1322,0.199,0.584,0.723,0.12,0.811,0.368,0.894,Bad,0.374,0.286,0.331,0.834,0.357,0.22,0.489,0.786,0.616,0.612,0.599,0.253,1
1323,0.01,0.656,0.25,0.477,0.99,0.534,0.101,Average,0.095,0.823,0.027,0.766,0.337,0.228,0.812,0.185,0.511,0.348,0.969,0.372,1
1324,0.83,0.458,0.448,0.341,0.716,0.89,0.528,Average,0.775,0.441,0.96,0.281,0.904,0.349,0.15,0.371,0.329,0.907,0.143,0.037,1
1325,0.804,0.411,0.946,0.983,0.042,0.987,0.437,Good,0.77,0.619,0.177,0.537,0.507,0.029,0.929,0.559,0.095,0.095,0.171,0.123,1
